Model,Features,Train R²,Test R²,Test RMSE,Test MAE
Baseline,6,0.8970183857607336,0.42134218474744856,55.36981953802181,45.13614452289555
+ Reintroduced,8,0.909991199740581,0.40751610194266275,56.02740044353667,45.11234787932881
+ Interactions,19,0.9120820674169652,0.404490577286055,56.17027051038654,45.58723297880445
